onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	lure	low	1	40	new	5
7.7	2.5	lure	high	1	4	new	6
12.2	2.5	repeat	n/a	1	4	new	4
16.7	2.5	foil	n/a	1	0	new	7
21.2	2.5	lure	high	1	40	new	6
25.7	2.5	lure	high	2	4	similar	8
30.2	2.5	repeat	n/a	2	4	old	7
34.7	2.5	foil	n/a	1	0	new	11
39.2	2.5	foil	n/a	1	0	new	8
43.7	2.5	lure	high	1	40	new	7
48.2	2.5	foil	n/a	1	0	new	12
52.7	2.5	foil	n/a	1	0	new	8
57.2	2.5	foil	n/a	1	0	new	8
61.7	2.5	lure	high	1	4	new	6
66.2	2.5	foil	n/a	1	0	new	10
70.7	2.5	foil	n/a	1	0	new	8
75.2	2.5	foil	n/a	1	0	new	10
79.7	2.5	lure	high	2	4	similar	9
84.2	2.5	foil	n/a	1	0	new	9
88.7	2.5	foil	n/a	1	0	new	4
93.2	2.5	lure	high	1	12	new	6
97.7	2.5	lure	low	1	4	new	9
102.2	2.5	repeat	n/a	1	12	new	6
106.7	2.5	foil	n/a	1	0	new	8
111.2	2.5	repeat	n/a	1	40	new	5
115.7	2.5	lure	low	2	4	similar	6
120.2	2.5	lure	high	1	12	new	4
124.7	2.5	foil	n/a	1	0	new	6
129.2	2.5	foil	n/a	1	0	new	6
133.7	2.5	repeat	n/a	1	4	new	2
138.2	2.5	lure	low	1	12	new	5
142.7	2.5	foil	n/a	1	0	new	9
147.2	2.5	lure	high	2	12	similar	2
151.7	2.5	repeat	n/a	2	4	old	3
156.2	2.5	repeat	n/a	2	12	old	5
160.7	2.5	foil	n/a	1	0	new	3
165.2	2.5	repeat	n/a	1	40	new	5
169.7	2.5	foil	n/a	1	0	new	8
174.2	2.5	lure	high	2	12	old	6
178.7	2.5	repeat	n/a	1	12	new	9
183.2	2.5	lure	low	2	40	new	9
187.7	2.5	foil	n/a	1	0	new	8
192.2	2.5	lure	low	2	12	similar	4
196.7	2.5	foil	n/a	1	0	new	8
201.2	2.5	lure	high	2	40	similar	4
205.7	2.5	foil	n/a	1	0	new	7
210.2	2.5	lure	low	1	12	new	6
214.7	2.5	repeat	n/a	1	12	new	3
219.2	2.5	lure	low	1	4	new	7
223.7	2.5	lure	high	2	40	similar	6
228.2	2.5	foil	n/a	1	0	new	8
232.7	2.5	repeat	n/a	2	12	old	6
237.2	2.5	lure	low	2	4	similar	4
241.7	2.5	foil	n/a	1	0	new	7
246.2	2.5	repeat	n/a	1	40	new	7
250.7	2.5	foil	n/a	1	0	new	8
255.2	2.5	lure	low	1	4	new	5
259.7	2.5	repeat	n/a	1	12	new	7
264.2	2.5	lure	low	2	12	similar	6
268.7	2.5	repeat	n/a	2	12	old	7
273.2	2.5	lure	low	2	4	similar	6
277.7	2.5	repeat	n/a	1	4	new	10
282.2	2.5	lure	low	1	40	new	9
286.7	2.5	foil	n/a	1	0	new	8
291.2	2.5	repeat	n/a	2	40	new	7
295.7	2.5	repeat	n/a	2	4	similar	7
300.2	2.5	repeat	n/a	1	40	new	7
304.7	2.5	repeat	n/a	1	40	new	8
309.2	2.5	foil	n/a	1	0	new	7
313.7	2.5	repeat	n/a	2	12	old	8
318.2	2.5	repeat	n/a	1	40	new	6
322.7	2.5	repeat	n/a	1	4	new	7
327.2	2.5	lure	low	1	40	new	7
331.7	2.5	lure	high	1	40	new	8
336.2	2.5	foil	n/a	1	0	new	6
340.7	2.5	repeat	n/a	2	4	old	8
345.2	2.5	repeat	n/a	2	40	old	9
349.7	2.5	lure	low	1	12	new	8
354.2	2.5	repeat	n/a	1	4	new	10
358.7	2.5	foil	n/a	1	0	new	7
363.2	2.5	foil	n/a	1	0	new	7
367.7	2.5	repeat	n/a	1	4	new	6
372.2	2.5	repeat	n/a	2	4	old	8
376.7	2.5	repeat	n/a	1	12	new	7
381.2	2.5	foil	n/a	1	0	similar	9
385.7	2.5	repeat	n/a	2	4	old	5
390.2	2.5	lure	high	1	4	new	6
394.7	2.5	foil	n/a	1	0	new	8
399.2	2.5	foil	n/a	1	0	new	2
403.7	2.5	lure	low	2	12	similar	5
408.2	2.5	lure	high	2	4	similar	6
412.7	2.5	foil	n/a	1	0	new	4
417.2	2.5	foil	n/a	1	0	new	9
421.7	2.5	foil	n/a	1	0	new	7
426.2	2.5	repeat	n/a	2	40	old	8
430.7	2.5	repeat	n/a	2	12	old	7
435.2	2.5	foil	n/a	1	0	new	8
439.7	2.5	foil	n/a	1	0	new	5
444.2	2.5	foil	n/a	1	0	new	7
448.7	2.5	repeat	n/a	1	12	similar	6
453.2	2.5	foil	n/a	1	0	new	5
457.7	2.5	foil	n/a	1	0	new	6
462.2	2.5	lure	low	2	40	similar	7
466.7	2.5	lure	high	1	12	new	7
471.2	2.5	foil	n/a	1	0	new	8
475.7	2.5	foil	n/a	1	0	new	10
480.2	2.5	repeat	n/a	2	40	old	11
484.7	2.5	repeat	n/a	2	40	old	7
489.2	2.5	foil	n/a	1	0	new	7
493.7	2.5	foil	n/a	1	0	new	7
498.2	2.5	repeat	n/a	2	40	old	10
502.7	2.5	repeat	n/a	2	12	old	8
507.2	2.5	lure	low	2	40	similar	7
511.7	2.5	lure	high	2	40	old	6
516.2	2.5	foil	n/a	1	0	new	7
520.7	2.5	lure	high	2	12	old	8
