onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	foil	n/a	1	0	new	6
7.7	2.5	lure	low	1	12	new	11
12.2	2.5	lure	low	1	12	new	8
16.7	2.5	foil	n/a	1	0	new	6
21.2	2.5	foil	n/a	1	0	new	2
25.7	2.5	foil	n/a	1	0	new	11
30.2	2.5	foil	n/a	1	0	new	8
34.7	2.5	foil	n/a	1	0	new	6
39.2	2.5	foil	n/a	1	0	new	6
43.7	2.5	foil	n/a	1	0	new	9
48.2	2.5	repeat	n/a	1	12	new	8
52.7	2.5	foil	n/a	1	0	new	7
57.2	2.5	lure	low	1	40	new	6
61.7	2.5	lure	low	2	12	similar	6
66.2	2.5	lure	low	2	12	old	8
70.7	2.5	lure	high	1	4	new	7
75.2	2.5	foil	n/a	1	0	new	7
79.7	2.5	lure	low	1	40	new	10
84.2	2.5	repeat	n/a	1	40	new	7
88.7	2.5	lure	high	2	4	old	7
93.2	2.5	repeat	n/a	1	12	new	8
97.7	2.5	foil	n/a	1	0	new	8
102.2	2.5	repeat	n/a	2	12	old	9
106.7	2.5	repeat	n/a	1	4	new	7
111.2	2.5	repeat	n/a	1	4	new	8
115.7	2.5	repeat	n/a	1	4	new	9
120.2	2.5	foil	n/a	1	0	new	7
124.7	2.5	repeat	n/a	2	4	old	7
129.2	2.5	repeat	n/a	2	4	old	9
133.7	2.5	repeat	n/a	2	4	old	8
138.2	2.5	foil	n/a	1	0	new	8
142.7	2.5	lure	low	1	12	new	8
147.2	2.5	repeat	n/a	2	12	similar	9
151.7	2.5	lure	low	1	4	new	5
156.2	2.5	foil	n/a	1	0	new	5
160.7	2.5	repeat	n/a	1	40	new	8
165.2	2.5	foil	n/a	1	0	new	9
169.7	2.5	lure	low	2	4	similar	5
174.2	2.5	repeat	n/a	1	40	new	7
178.7	2.5	lure	high	1	40	new	9
183.2	2.5	repeat	n/a	1	40	new	8
187.7	2.5	foil	n/a	1	0	new	6
192.2	2.5	lure	high	1	12	new	5
196.7	2.5	lure	low	2	12	similar	10
201.2	2.5	lure	high	1	40	new	5
205.7	2.5	foil	n/a	1	0	new	9
210.2	2.5	lure	low	1	4	new	8
214.7	2.5	foil	n/a	1	0	new	10
219.2	2.5	lure	low	1	40	new	8
223.7	2.5	repeat	n/a	1	12	new	8
228.2	2.5	lure	low	2	4	similar	8
232.7	2.5	lure	high	1	40	new	8
237.2	2.5	lure	low	2	40	similar	9
241.7	2.5	foil	n/a	1	0	new	9
246.2	2.5	lure	high	2	12	similar	5
250.7	2.5	foil	n/a	1	0	new	7
255.2	2.5	repeat	n/a	1	4	new	7
259.7	2.5	lure	low	2	40	similar	9
264.2	2.5	repeat	n/a	2	40	new	10
268.7	2.5	foil	n/a	1	0	new	9
273.2	2.5	repeat	n/a	2	4	old	8
277.7	2.5	repeat	n/a	2	12	old	8
282.2	2.5	foil	n/a	1	0	new	6
286.7	2.5	foil	n/a	1	0	new	6
291.2	2.5	foil	n/a	1	0	new	6
295.7	2.5	foil	n/a	1	0	new	6
300.2	2.5	repeat	n/a	1	40	similar	7
304.7	2.5	repeat	n/a	1	40	new	10
309.2	2.5	repeat	n/a	1	4	new	6
313.7	2.5	foil	n/a	1	0	new	5
318.2	2.5	lure	low	1	4	new	8
322.7	2.5	foil	n/a	1	0	new	7
327.2	2.5	repeat	n/a	2	4	similar	10
331.7	2.5	foil	n/a	1	0	new	7
336.2	2.5	lure	low	2	4	similar	9
340.7	2.5	repeat	n/a	2	40	old	7
345.2	2.5	foil	n/a	1	0	new	9
349.7	2.5	lure	high	1	12	new	5
354.2	2.5	repeat	n/a	2	40	old	8
358.7	2.5	lure	high	2	40	old	8
363.2	2.5	repeat	n/a	2	40	old	10
367.7	2.5	lure	high	1	4	new	7
372.2	2.5	foil	n/a	1	0	new	8
376.7	2.5	foil	n/a	1	0	new	8
381.2	2.5	lure	high	2	40	similar	8
385.7	2.5	lure	high	2	4	old	9
390.2	2.5	foil	n/a	1	0	new	6
394.7	2.5	foil	n/a	1	0	new	6
399.2	2.5	lure	low	2	40	similar	7
403.7	2.5	lure	high	2	12	similar	7
408.2	2.5	foil	n/a	1	0	new	7
412.7	2.5	lure	high	2	40	similar	8
417.2	2.5	foil	n/a	1	0	new	8
421.7	2.5	lure	high	1	4	new	6
426.2	2.5	foil	n/a	1	0	new	7
430.7	2.5	repeat	n/a	1	4	new	8
435.2	2.5	foil	n/a	1	0	new	6
439.7	2.5	lure	high	2	4	similar	8
444.2	2.5	repeat	n/a	1	12	new	7
448.7	2.5	repeat	n/a	2	4	old	9
453.2	2.5	repeat	n/a	1	12	new	7
457.7	2.5	lure	high	1	12	new	7
462.2	2.5	foil	n/a	1	0	new	8
466.7	2.5	repeat	n/a	1	12	new	6
471.2	2.5	foil	n/a	1	0	new	8
475.7	2.5	foil	n/a	1	0	new	7
480.2	2.5	repeat	n/a	2	40	old	9
484.7	2.5	repeat	n/a	2	40	old	8
489.2	2.5	foil	n/a	1	0	new	6
493.7	2.5	foil	n/a	1	0	new	8
498.2	2.5	repeat	n/a	2	12	old	8
502.7	2.5	foil	n/a	1	0	new	8
507.2	2.5	repeat	n/a	2	12	old	8
511.7	2.5	lure	high	2	12	old	7
516.2	2.5	foil	n/a	1	0	new	9
520.7	2.5	repeat	n/a	2	12	old	4
