onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	foil	n/a	1	0	new	7
7.7	2.5	foil	n/a	1	0	new	8
12.2	2.5	lure	high	1	12	new	7
16.7	2.5	foil	n/a	1	0	new	7
21.2	2.5	foil	n/a	1	0	new	5
25.7	2.5	foil	n/a	1	0	new	7
30.2	2.5	repeat	n/a	1	40	new	7
34.7	2.5	lure	high	1	4	new	7
39.2	2.5	foil	n/a	1	0	new	8
43.7	2.5	repeat	n/a	1	40	new	9
48.2	2.5	foil	n/a	1	0	new	6
52.7	2.5	lure	high	2	4	similar	7
57.2	2.5	repeat	n/a	1	40	new	6
61.7	2.5	foil	n/a	1	0	new	7
66.2	2.5	lure	high	2	12	similar	7
70.7	2.5	foil	n/a	1	0	new	7
75.2	2.5	foil	n/a	1	0	new	7
79.7	2.5	foil	n/a	1	0	new	7
84.2	2.5	lure	low	1	4	new	6
88.7	2.5	repeat	n/a	1	4	new	11
93.2	2.5	foil	n/a	1	0	new	8
97.7	2.5	repeat	n/a	1	40	new	7
102.2	2.5	lure	low	2	4	similar	9
106.7	2.5	repeat	n/a	2	4	old	9
111.2	2.5	foil	n/a	1	0	new	6
115.7	2.5	lure	high	1	40	new	7
120.2	2.5	repeat	n/a	1	4	new	8
124.7	2.5	foil	n/a	1	0	new	8
129.2	2.5	lure	high	1	4	new	7
133.7	2.5	foil	n/a	1	0	new	9
138.2	2.5	repeat	n/a	2	4	old	7
142.7	2.5	foil	n/a	1	0	new	9
147.2	2.5	lure	high	2	4	old	10
151.7	2.5	repeat	n/a	1	12	new	8
156.2	2.5	foil	n/a	1	0	new	8
160.7	2.5	foil	n/a	1	0	new	7
165.2	2.5	repeat	n/a	1	12	new	7
169.7	2.5	foil	n/a	1	0	new	7
174.2	2.5	repeat	n/a	1	40	new	8
178.7	2.5	foil	n/a	1	0	new	7
183.2	2.5	lure	high	1	4	new	6
187.7	2.5	lure	low	1	40	new	9
192.2	2.5	lure	high	1	40	new	6
196.7	2.5	lure	low	1	12	new	8
201.2	2.5	lure	high	2	4	similar	5
205.7	2.5	repeat	n/a	2	12	old	6
210.2	2.5	repeat	n/a	2	40	old	8
214.7	2.5	lure	high	1	12	new	7
219.2	2.5	repeat	n/a	2	12	old	7
223.7	2.5	repeat	n/a	2	40	old	10
228.2	2.5	lure	high	1	40	new	8
232.7	2.5	foil	n/a	1	0	new	7
237.2	2.5	repeat	n/a	2	40	old	9
241.7	2.5	lure	low	1	40	new	6
246.2	2.5	repeat	n/a	1	4	new	7
250.7	2.5	lure	low	2	12	similar	9
255.2	2.5	lure	low	1	4	new	10
259.7	2.5	repeat	n/a	1	12	new	7
264.2	2.5	repeat	n/a	2	4	old	7
268.7	2.5	lure	high	2	12	old	10
273.2	2.5	lure	low	2	4	similar	10
277.7	2.5	repeat	n/a	2	40	old	6
282.2	2.5	foil	n/a	1	0	new	7
286.7	2.5	lure	low	1	12	new	5
291.2	2.5	repeat	n/a	1	40	new	8
295.7	2.5	lure	high	2	40	old	9
300.2	2.5	foil	n/a	1	0	new	7
304.7	2.5	repeat	n/a	1	12	new	11
309.2	2.5	foil	n/a	1	0	new	6
313.7	2.5	repeat	n/a	2	12	old	7
318.2	2.5	foil	n/a	1	0	new	7
322.7	2.5	repeat	n/a	1	12	new	5
327.2	2.5	foil	n/a	1	0	new	8
331.7	2.5	lure	low	1	40	new	8
336.2	2.5	lure	high	1	12	new	6
340.7	2.5	lure	low	2	12	similar	8
345.2	2.5	foil	n/a	1	0	new	8
349.7	2.5	foil	n/a	1	0	new	7
354.2	2.5	repeat	n/a	2	40	old	7
358.7	2.5	repeat	n/a	2	12	old	8
363.2	2.5	foil	n/a	1	0	new	6
367.7	2.5	lure	low	2	40	similar	11
372.2	2.5	lure	high	2	40	similar	5
376.7	2.5	repeat	n/a	2	12	old	6
381.2	2.5	foil	n/a	1	0	new	9
385.7	2.5	repeat	n/a	1	4	new	9
390.2	2.5	lure	high	2	12	similar	8
394.7	2.5	foil	n/a	1	0	new	8
399.2	2.5	foil	n/a	1	0	new	7
403.7	2.5	repeat	n/a	2	4	old	9
408.2	2.5	lure	high	2	40	similar	7
412.7	2.5	lure	low	1	12	new	6
417.2	2.5	foil	n/a	1	0	new	8
421.7	2.5	lure	low	2	40	similar	9
426.2	2.5	foil	n/a	1	0	new	6
430.7	2.5	foil	n/a	1	0	new	8
435.2	2.5	foil	n/a	1	0	new	9
439.7	2.5	lure	low	1	4	new	6
444.2	2.5	repeat	n/a	1	12	new	8
448.7	2.5	foil	n/a	1	0	new	9
453.2	2.5	foil	n/a	1	0	new	9
457.7	2.5	lure	low	2	4	similar	8
462.2	2.5	repeat	n/a	1	4	new	8
466.7	2.5	lure	low	2	12	similar	9
471.2	2.5	repeat	n/a	2	40	old	6
475.7	2.5	foil	n/a	1	0	new	6
480.2	2.5	repeat	n/a	2	4	old	6
484.7	2.5	foil	n/a	1	0	new	8
489.2	2.5	repeat	n/a	1	4	new	5
493.7	2.5	foil	n/a	1	0	new	6
498.2	2.5	repeat	n/a	2	12	old	6
502.7	2.5	foil	n/a	1	0	new	7
507.2	2.5	repeat	n/a	2	4	old	7
511.7	2.5	lure	low	2	40	similar	7
516.2	2.5	foil	n/a	1	0	new	6
520.7	2.5	foil	n/a	1	0	new	7
