onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	repeat	n/a	1	40	new	8
7.7	2.5	foil	n/a	1	0	new	9
12.2	2.5	lure	high	1	4	new	12
16.7	2.5	foil	n/a	1	0	new	9
21.2	2.5	foil	n/a	1	0	new	8
25.7	2.5	foil	n/a	1	0	new	9
30.2	2.5	lure	high	2	4	similar	8
34.7	2.5	lure	low	1	12	new	9
39.2	2.5	lure	high	1	40	new	10
43.7	2.5	foil	n/a	1	0	new	8
48.2	2.5	lure	high	1	40	new	9
52.7	2.5	lure	high	1	40	new	7
57.2	2.5	lure	low	1	40	new	9
61.7	2.5	repeat	n/a	1	4	new	8
66.2	2.5	repeat	n/a	1	12	new	9
70.7	2.5	foil	n/a	1	0	new	9
75.2	2.5	foil	n/a	1	0	new	6
79.7	2.5	repeat	n/a	2	4	old	7
84.2	2.5	lure	high	1	12	new	9
88.7	2.5	lure	low	2	12	new	9
93.2	2.5	foil	n/a	1	0	new	8
97.7	2.5	lure	high	1	4	new	8
102.2	2.5	foil	n/a	1	0	new	7
106.7	2.5	repeat	n/a	1	40	new	6
111.2	2.5	foil	n/a	1	0	new	9
115.7	2.5	lure	high	2	4	similar	8
120.2	2.5	repeat	n/a	2	12	old	8
124.7	2.5	lure	low	1	4	new	10
129.2	2.5	foil	n/a	1	0	new	8
133.7	2.5	foil	n/a	1	0	new	5
138.2	2.5	lure	high	2	12	similar	4
142.7	2.5	lure	low	2	4	similar	7
147.2	2.5	repeat	n/a	1	4	new	4
151.7	2.5	repeat	n/a	1	4	new	6
156.2	2.5	foil	n/a	1	0	new	9
160.7	2.5	repeat	n/a	1	4	new	12
165.2	2.5	repeat	n/a	2	4	similar	8
169.7	2.5	repeat	n/a	2	4	old	6
174.2	2.5	foil	n/a	1	0	new	8
178.7	2.5	repeat	n/a	2	4	similar	9
183.2	2.5	repeat	n/a	2	40	old	8
187.7	2.5	lure	low	1	4	new	7
192.2	2.5	repeat	n/a	1	40	new	9
196.7	2.5	repeat	n/a	1	40	new	9
201.2	2.5	foil	n/a	1	0	new	9
205.7	2.5	lure	low	2	4	similar	8
210.2	2.5	foil	n/a	1	0	new	9
214.7	2.5	lure	high	1	12	new	6
219.2	2.5	lure	high	2	40	similar	9
223.7	2.5	repeat	n/a	1	12	new	7
228.2	2.5	lure	high	2	40	similar	8
232.7	2.5	lure	high	2	40	old	9
237.2	2.5	lure	low	2	40	new	8
241.7	2.5	repeat	n/a	1	12	new	7
246.2	2.5	foil	n/a	1	0	new	9
250.7	2.5	repeat	n/a	1	12	new	8
255.2	2.5	repeat	n/a	1	4	new	8
259.7	2.5	repeat	n/a	1	40	new	9
264.2	2.5	foil	n/a	1	0	new	9
268.7	2.5	lure	high	2	12	old	9
273.2	2.5	repeat	n/a	2	4	old	12
277.7	2.5	repeat	n/a	2	12	old	8
282.2	2.5	repeat	n/a	1	4	new	7
286.7	2.5	repeat	n/a	2	40	old	7
291.2	2.5	repeat	n/a	1	40	new	9
295.7	2.5	repeat	n/a	2	12	old	10
300.2	2.5	repeat	n/a	2	4	similar	7
304.7	2.5	repeat	n/a	2	12	old	9
309.2	2.5	lure	low	1	40	new	10
313.7	2.5	foil	n/a	1	0	new	9
318.2	2.5	foil	n/a	1	0	new	8
322.7	2.5	foil	n/a	1	0	new	11
327.2	2.5	foil	n/a	1	0	new	8
331.7	2.5	lure	low	1	12	new	8
336.2	2.5	lure	low	1	12	new	9
340.7	2.5	lure	low	1	40	new	9
345.2	2.5	foil	n/a	1	0	new	10
349.7	2.5	foil	n/a	1	0	new	12
354.2	2.5	foil	n/a	1	0	new	9
358.7	2.5	foil	n/a	1	0	n/a	10
363.2	2.5	lure	high	1	4	new	11
367.7	2.5	foil	n/a	1	0	new	8
372.2	2.5	repeat	n/a	2	40	old	10
376.7	2.5	repeat	n/a	2	40	similar	9
381.2	2.5	lure	high	2	4	similar	9
385.7	2.5	lure	low	2	12	similar	9
390.2	2.5	lure	low	2	12	similar	9
394.7	2.5	foil	n/a	1	0	new	9
399.2	2.5	foil	n/a	1	0	new	8
403.7	2.5	foil	n/a	1	0	new	7
408.2	2.5	foil	n/a	1	0	new	6
412.7	2.5	repeat	n/a	1	12	new	5
417.2	2.5	lure	low	1	4	new	9
421.7	2.5	foil	n/a	1	0	new	5
426.2	2.5	foil	n/a	1	0	new	10
430.7	2.5	foil	n/a	1	0	new	7
435.2	2.5	lure	low	2	4	similar	7
439.7	2.5	repeat	n/a	2	40	old	9
444.2	2.5	lure	high	1	12	new	11
448.7	2.5	repeat	n/a	1	12	new	8
453.2	2.5	foil	n/a	1	0	new	8
457.7	2.5	foil	n/a	1	0	new	9
462.2	2.5	foil	n/a	1	0	new	9
466.7	2.5	repeat	n/a	2	12	old	8
471.2	2.5	repeat	n/a	2	40	old	10
475.7	2.5	foil	n/a	1	0	new	11
480.2	2.5	foil	n/a	1	0	new	8
484.7	2.5	foil	n/a	1	0	new	8
489.2	2.5	lure	low	2	40	similar	12
493.7	2.5	foil	n/a	1	0	new	11
498.2	2.5	lure	high	2	12	old	11
502.7	2.5	repeat	n/a	2	12	similar	7
507.2	2.5	foil	n/a	1	0	new	7
511.7	2.5	foil	n/a	1	0	new	4
516.2	2.5	foil	n/a	1	0	new	9
520.7	2.5	lure	low	2	40	similar	9
