onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	lure	high	1	40	new	6
7.7	2.5	foil	n/a	1	0	new	7
12.2	2.5	lure	low	1	40	new	10
16.7	2.5	repeat	n/a	1	40	new	10
21.2	2.5	lure	low	1	40	new	10
25.7	2.5	lure	high	1	4	new	9
30.2	2.5	foil	n/a	1	0	new	13
34.7	2.5	lure	high	1	12	new	6
39.2	2.5	lure	high	1	4	new	8
43.7	2.5	lure	high	2	4	old	8
48.2	2.5	repeat	n/a	1	4	new	9
52.7	2.5	foil	n/a	1	0	new	6
57.2	2.5	lure	high	2	4	similar	8
61.7	2.5	foil	n/a	1	0	new	10
66.2	2.5	repeat	n/a	2	4	old	10
70.7	2.5	repeat	n/a	1	40	new	10
75.2	2.5	repeat	n/a	1	40	new	7
79.7	2.5	repeat	n/a	1	12	new	9
84.2	2.5	foil	n/a	1	0	new	6
88.7	2.5	lure	high	2	12	old	7
93.2	2.5	lure	high	1	40	new	10
97.7	2.5	lure	high	1	12	new	6
102.2	2.5	foil	n/a	1	0	new	7
106.7	2.5	foil	n/a	1	0	new	9
111.2	2.5	foil	n/a	1	0	new	8
115.7	2.5	foil	n/a	1	0	new	8
120.2	2.5	repeat	n/a	1	4	new	7
124.7	2.5	repeat	n/a	1	40	new	6
129.2	2.5	foil	n/a	1	0	new	8
133.7	2.5	repeat	n/a	2	12	old	7
138.2	2.5	repeat	n/a	2	4	old	7
142.7	2.5	foil	n/a	1	0	new	7
147.2	2.5	foil	n/a	1	0	new	6
151.7	2.5	lure	high	2	12	old	8
156.2	2.5	foil	n/a	1	0	n/a	9
160.7	2.5	lure	high	1	40	new	8
165.2	2.5	foil	n/a	1	0	new	9
169.7	2.5	repeat	n/a	1	4	new	10
174.2	2.5	foil	n/a	1	0	new	8
178.7	2.5	repeat	n/a	1	40	new	7
183.2	2.5	lure	high	2	40	old	6
187.7	2.5	repeat	n/a	2	4	old	5
192.2	2.5	lure	low	2	40	old	9
196.7	2.5	repeat	n/a	2	40	old	6
201.2	2.5	lure	low	2	40	old	9
205.7	2.5	foil	n/a	1	0	new	6
210.2	2.5	repeat	n/a	1	12	new	9
214.7	2.5	foil	n/a	1	0	new	9
219.2	2.5	foil	n/a	1	0	new	7
223.7	2.5	lure	low	1	4	new	8
228.2	2.5	foil	n/a	1	0	new	5
232.7	2.5	repeat	n/a	1	12	new	5
237.2	2.5	lure	low	1	40	new	8
241.7	2.5	lure	low	2	4	old	8
246.2	2.5	repeat	n/a	1	12	new	7
250.7	2.5	repeat	n/a	2	40	old	11
255.2	2.5	repeat	n/a	2	40	old	3
259.7	2.5	foil	n/a	1	0	new	3
264.2	2.5	repeat	n/a	2	12	old	3
268.7	2.5	foil	n/a	1	0	new	5
273.2	2.5	lure	high	2	40	n/a	7
277.7	2.5	foil	n/a	1	0	new	9
282.2	2.5	lure	low	1	12	new	7
286.7	2.5	repeat	n/a	2	12	old	7
291.2	2.5	lure	low	1	12	new	6
295.7	2.5	foil	n/a	1	0	new	6
300.2	2.5	repeat	n/a	2	12	old	6
304.7	2.5	repeat	n/a	2	40	old	5
309.2	2.5	lure	high	1	4	new	6
313.7	2.5	lure	high	1	12	new	6
318.2	2.5	foil	n/a	1	0	new	5
322.7	2.5	foil	n/a	1	0	new	6
327.2	2.5	lure	high	2	4	old	9
331.7	2.5	repeat	n/a	1	40	new	6
336.2	2.5	lure	low	2	12	old	10
340.7	2.5	lure	high	2	40	old	5
345.2	2.5	lure	low	2	12	similar	6
349.7	2.5	foil	n/a	1	0	new	8
354.2	2.5	foil	n/a	1	0	new	6
358.7	2.5	repeat	n/a	2	40	old	8
363.2	2.5	foil	n/a	1	0	new	5
367.7	2.5	lure	high	2	12	old	7
372.2	2.5	foil	n/a	1	0	new	8
376.7	2.5	foil	n/a	1	0	new	8
381.2	2.5	repeat	n/a	1	12	new	4
385.7	2.5	foil	n/a	1	0	new	6
390.2	2.5	repeat	n/a	1	4	new	6
394.7	2.5	repeat	n/a	1	4	new	6
399.2	2.5	foil	n/a	1	0	new	8
403.7	2.5	lure	low	1	12	new	9
408.2	2.5	repeat	n/a	2	4	old	6
412.7	2.5	repeat	n/a	2	4	old	6
417.2	2.5	lure	low	2	40	similar	7
421.7	2.5	lure	low	1	4	new	8
426.2	2.5	foil	n/a	1	0	new	5
430.7	2.5	repeat	n/a	1	12	new	8
435.2	2.5	repeat	n/a	2	12	old	10
439.7	2.5	lure	low	2	4	similar	11
444.2	2.5	foil	n/a	1	0	new	10
448.7	2.5	repeat	n/a	1	4	new	9
453.2	2.5	foil	n/a	1	0	new	10
457.7	2.5	lure	low	2	12	new	13
462.2	2.5	foil	n/a	1	0	new	7
466.7	2.5	repeat	n/a	2	4	similar	9
471.2	2.5	foil	n/a	1	0	new	5
475.7	2.5	foil	n/a	1	0	new	7
480.2	2.5	lure	low	1	4	new	7
484.7	2.5	repeat	n/a	2	12	old	7
489.2	2.5	foil	n/a	1	0	new	9
493.7	2.5	foil	n/a	1	0	new	9
498.2	2.5	lure	low	2	4	similar	9
502.7	2.5	foil	n/a	1	0	new	7
507.2	2.5	foil	n/a	1	0	new	8
511.7	2.5	repeat	n/a	2	40	old	7
516.2	2.5	foil	n/a	1	0	new	8
520.7	2.5	foil	n/a	1	0	new	5
