onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	foil	n/a	1	0	new	9
7.7	2.5	foil	n/a	1	0	new	8
12.2	2.5	foil	n/a	1	0	new	6
16.7	2.5	lure	high	1	40	new	10
21.2	2.5	repeat	n/a	1	12	new	6
25.7	2.5	repeat	n/a	1	40	new	4
30.2	2.5	lure	high	1	40	new	8
34.7	2.5	foil	n/a	1	0	new	10
39.2	2.5	foil	n/a	1	0	new	5
43.7	2.5	repeat	n/a	1	4	new	10
48.2	2.5	foil	n/a	1	0	new	4
52.7	2.5	lure	low	1	12	new	8
57.2	2.5	foil	n/a	1	0	new	7
61.7	2.5	repeat	n/a	2	4	old	11
66.2	2.5	foil	n/a	1	0	new	7
70.7	2.5	lure	high	1	4	new	8
75.2	2.5	repeat	n/a	2	12	old	7
79.7	2.5	repeat	n/a	1	40	new	6
84.2	2.5	foil	n/a	1	0	new	10
88.7	2.5	lure	high	2	4	old	8
93.2	2.5	repeat	n/a	1	12	new	8
97.7	2.5	repeat	n/a	1	40	new	9
102.2	2.5	foil	n/a	1	0	new	8
106.7	2.5	lure	low	2	12	new	13
111.2	2.5	foil	n/a	1	0	new	8
115.7	2.5	foil	n/a	1	0	new	9
120.2	2.5	foil	n/a	1	0	new	9
124.7	2.5	lure	low	1	4	new	6
129.2	2.5	lure	low	1	40	new	8
133.7	2.5	foil	n/a	1	0	new	6
138.2	2.5	foil	n/a	1	0	new	6
142.7	2.5	lure	low	2	4	similar	11
147.2	2.5	repeat	n/a	2	12	old	9
151.7	2.5	foil	n/a	1	0	new	8
156.2	2.5	lure	high	1	4	new	8
160.7	2.5	foil	n/a	1	0	new	8
165.2	2.5	lure	low	1	40	new	6
169.7	2.5	lure	low	1	4	new	7
174.2	2.5	lure	high	2	4	old	8
178.7	2.5	foil	n/a	1	0	new	6
183.2	2.5	lure	low	1	4	new	8
187.7	2.5	lure	low	2	4	new	6
192.2	2.5	lure	high	1	40	new	7
196.7	2.5	lure	high	2	40	old	9
201.2	2.5	lure	low	2	4	similar	8
205.7	2.5	repeat	n/a	2	40	new	6
210.2	2.5	lure	high	2	40	old	7
214.7	2.5	repeat	n/a	1	12	new	9
219.2	2.5	repeat	n/a	1	4	new	3
223.7	2.5	foil	n/a	1	0	new	4
228.2	2.5	lure	high	1	12	new	4
232.7	2.5	lure	low	1	12	new	8
237.2	2.5	repeat	n/a	2	4	old	10
241.7	2.5	repeat	n/a	1	40	new	5
246.2	2.5	foil	n/a	1	0	new	10
250.7	2.5	repeat	n/a	1	40	new	7
255.2	2.5	foil	n/a	1	0	new	11
259.7	2.5	repeat	n/a	2	40	old	7
264.2	2.5	lure	low	1	12	new	7
268.7	2.5	repeat	n/a	2	12	old	6
273.2	2.5	repeat	n/a	1	4	new	8
277.7	2.5	repeat	n/a	2	40	new	8
282.2	2.5	lure	high	2	12	old	3
286.7	2.5	lure	low	2	12	new	11
291.2	2.5	repeat	n/a	2	4	old	6
295.7	2.5	foil	n/a	1	0	new	9
300.2	2.5	foil	n/a	1	0	new	8
304.7	2.5	foil	n/a	1	0	new	9
309.2	2.5	lure	low	2	40	similar	9
313.7	2.5	lure	high	1	12	new	9
318.2	2.5	lure	low	2	12	new	6
322.7	2.5	repeat	n/a	1	40	new	5
327.2	2.5	foil	n/a	1	0	new	7
331.7	2.5	repeat	n/a	1	4	new	9
336.2	2.5	foil	n/a	1	0	new	6
340.7	2.5	lure	low	1	40	new	7
345.2	2.5	lure	low	2	40	old	7
349.7	2.5	repeat	n/a	2	4	old	8
354.2	2.5	lure	high	1	12	new	7
358.7	2.5	repeat	n/a	1	4	new	8
363.2	2.5	foil	n/a	1	0	new	5
367.7	2.5	lure	high	2	12	similar	7
372.2	2.5	lure	high	2	40	new	7
376.7	2.5	repeat	n/a	2	4	similar	9
381.2	2.5	foil	n/a	1	0	new	8
385.7	2.5	repeat	n/a	1	4	new	12
390.2	2.5	foil	n/a	1	0	new	9
394.7	2.5	foil	n/a	1	0	new	10
399.2	2.5	foil	n/a	1	0	new	8
403.7	2.5	repeat	n/a	2	4	old	7
408.2	2.5	lure	high	2	12	old	7
412.7	2.5	foil	n/a	1	0	new	8
417.2	2.5	foil	n/a	1	0	new	6
421.7	2.5	repeat	n/a	2	40	old	10
426.2	2.5	repeat	n/a	1	12	new	10
430.7	2.5	repeat	n/a	2	40	old	10
435.2	2.5	foil	n/a	1	0	new	6
439.7	2.5	foil	n/a	1	0	new	5
444.2	2.5	foil	n/a	1	0	new	8
448.7	2.5	foil	n/a	1	0	new	9
453.2	2.5	repeat	n/a	1	12	new	8
457.7	2.5	foil	n/a	1	0	new	6
462.2	2.5	repeat	n/a	1	12	new	9
466.7	2.5	lure	high	1	4	new	9
471.2	2.5	foil	n/a	1	0	new	7
475.7	2.5	foil	n/a	1	0	new	9
480.2	2.5	repeat	n/a	2	12	old	8
484.7	2.5	lure	high	2	4	old	8
489.2	2.5	foil	n/a	1	0	old	4
493.7	2.5	foil	n/a	1	0	new	9
498.2	2.5	foil	n/a	1	0	new	3
502.7	2.5	repeat	n/a	2	40	old	5
507.2	2.5	repeat	n/a	2	12	old	5
511.7	2.5	foil	n/a	1	0	new	8
516.2	2.5	repeat	n/a	2	12	old	8
520.7	2.5	lure	low	2	40	new	7
