onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	foil	n/a	1	0	new	5
7.7	2.5	lure	high	1	4	new	5
12.2	2.5	foil	n/a	1	0	new	3
16.7	2.5	lure	high	1	12	new	4
21.2	2.5	foil	n/a	1	0	new	4
25.7	2.5	lure	high	2	4	old	5
30.2	2.5	repeat	n/a	1	4	new	5
34.7	2.5	foil	n/a	1	0	new	5
39.2	2.5	foil	n/a	1	0	new	7
43.7	2.5	repeat	n/a	1	40	new	4
48.2	2.5	repeat	n/a	2	4	old	6
52.7	2.5	repeat	n/a	1	40	new	5
57.2	2.5	foil	n/a	1	0	similar	7
61.7	2.5	foil	n/a	1	0	new	7
66.2	2.5	foil	n/a	1	0	new	7
70.7	2.5	lure	high	2	12	similar	6
75.2	2.5	lure	low	1	12	new	6
79.7	2.5	lure	high	1	40	new	6
84.2	2.5	lure	low	1	4	new	5
88.7	2.5	lure	low	1	4	new	7
93.2	2.5	lure	high	1	40	new	5
97.7	2.5	foil	n/a	1	0	new	4
102.2	2.5	lure	low	2	4	similar	5
106.7	2.5	lure	low	2	4	similar	7
111.2	2.5	foil	n/a	1	0	new	6
115.7	2.5	foil	n/a	1	0	new	4
120.2	2.5	foil	n/a	1	0	new	7
124.7	2.5	lure	low	1	40	new	5
129.2	2.5	lure	low	2	12	similar	5
133.7	2.5	lure	high	1	12	similar	4
138.2	2.5	repeat	n/a	1	12	new	8
142.7	2.5	foil	n/a	1	0	new	4
147.2	2.5	foil	n/a	1	0	similar	4
151.7	2.5	foil	n/a	1	0	new	5
156.2	2.5	foil	n/a	1	0	new	9
160.7	2.5	repeat	n/a	1	12	new	5
165.2	2.5	foil	n/a	1	0	new	8
169.7	2.5	foil	n/a	1	0	new	6
174.2	2.5	foil	n/a	1	0	new	5
178.7	2.5	foil	n/a	1	0	new	7
183.2	2.5	repeat	n/a	1	4	similar	5
187.7	2.5	lure	high	2	12	similar	6
192.2	2.5	repeat	n/a	2	12	old	5
196.7	2.5	foil	n/a	1	0	new	7
201.2	2.5	repeat	n/a	2	4	old	4
205.7	2.5	foil	n/a	1	0	new	4
210.2	2.5	lure	low	1	40	new	5
214.7	2.5	repeat	n/a	2	12	old	4
219.2	2.5	foil	n/a	1	0	new	6
223.7	2.5	repeat	n/a	2	40	old	8
228.2	2.5	lure	low	1	4	new	8
232.7	2.5	repeat	n/a	2	40	old	6
237.2	2.5	repeat	n/a	1	12	new	6
241.7	2.5	repeat	n/a	1	40	new	5
246.2	2.5	lure	low	2	4	new	7
250.7	2.5	foil	n/a	1	0	new	4
255.2	2.5	repeat	n/a	1	40	new	5
259.7	2.5	lure	high	2	40	old	6
264.2	2.5	foil	n/a	1	0	new	6
268.7	2.5	repeat	n/a	1	4	new	6
273.2	2.5	lure	high	2	40	similar	7
277.7	2.5	repeat	n/a	1	40	new	5
282.2	2.5	repeat	n/a	1	40	new	7
286.7	2.5	repeat	n/a	2	4	similar	7
291.2	2.5	repeat	n/a	2	12	similar	6
295.7	2.5	repeat	n/a	1	12	new	8
300.2	2.5	lure	high	1	40	similar	6
304.7	2.5	lure	low	2	40	new	4
309.2	2.5	foil	n/a	1	0	new	6
313.7	2.5	lure	high	1	12	new	5
318.2	2.5	foil	n/a	1	0	new	6
322.7	2.5	repeat	n/a	1	4	new	7
327.2	2.5	repeat	n/a	1	12	new	4
331.7	2.5	foil	n/a	1	0	new	7
336.2	2.5	lure	low	1	40	new	6
340.7	2.5	repeat	n/a	2	4	old	9
345.2	2.5	repeat	n/a	1	4	new	8
349.7	2.5	repeat	n/a	2	12	similar	6
354.2	2.5	lure	low	1	12	new	4
358.7	2.5	lure	low	1	12	new	8
363.2	2.5	repeat	n/a	2	4	old	6
367.7	2.5	lure	high	2	12	new	5
372.2	2.5	foil	n/a	1	0	new	8
376.7	2.5	foil	n/a	1	0	new	5
381.2	2.5	repeat	n/a	2	12	old	5
385.7	2.5	foil	n/a	1	0	new	6
390.2	2.5	lure	low	2	40	similar	6
394.7	2.5	foil	n/a	1	0	new	6
399.2	2.5	repeat	n/a	1	12	new	6
403.7	2.5	foil	n/a	1	0	new	7
408.2	2.5	lure	low	2	12	similar	5
412.7	2.5	lure	low	2	12	similar	7
417.2	2.5	foil	n/a	1	0	new	6
421.7	2.5	repeat	n/a	2	40	similar	6
426.2	2.5	repeat	n/a	1	4	new	5
430.7	2.5	foil	n/a	1	0	new	6
435.2	2.5	repeat	n/a	2	40	similar	5
439.7	2.5	foil	n/a	1	0	new	10
444.2	2.5	repeat	n/a	2	4	old	8
448.7	2.5	lure	high	1	4	new	5
453.2	2.5	repeat	n/a	2	12	old	6
457.7	2.5	repeat	n/a	2	40	similar	4
462.2	2.5	repeat	n/a	2	40	old	7
466.7	2.5	lure	high	2	4	new	7
471.2	2.5	foil	n/a	1	0	new	9
475.7	2.5	foil	n/a	1	0	new	6
480.2	2.5	lure	high	2	40	similar	8
484.7	2.5	foil	n/a	1	0	new	4
489.2	2.5	foil	n/a	1	0	new	6
493.7	2.5	lure	high	1	4	new	8
498.2	2.5	foil	n/a	1	0	new	6
502.7	2.5	foil	n/a	1	0	new	7
507.2	2.5	foil	n/a	1	0	new	7
511.7	2.5	lure	high	2	4	similar	9
516.2	2.5	lure	low	2	40	old	3
520.7	2.5	foil	n/a	1	0	new	3
