onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	lure	low	1	12	new	8
7.7	2.5	lure	low	1	40	new	9
12.2	2.5	foil	n/a	1	0	new	11
16.7	2.5	foil	n/a	1	0	new	7
21.2	2.5	foil	n/a	1	0	new	9
25.7	2.5	repeat	n/a	1	12	new	9
30.2	2.5	lure	high	1	4	new	9
34.7	2.5	foil	n/a	1	0	new	5
39.2	2.5	lure	high	1	12	new	6
43.7	2.5	lure	low	1	12	new	6
48.2	2.5	lure	high	2	4	similar	9
52.7	2.5	foil	n/a	1	0	new	4
57.2	2.5	lure	low	2	12	old	8
61.7	2.5	foil	n/a	1	0	new	9
66.2	2.5	lure	high	1	12	new	6
70.7	2.5	foil	n/a	1	0	new	9
75.2	2.5	foil	n/a	1	0	new	7
79.7	2.5	repeat	n/a	2	12	old	3
84.2	2.5	foil	n/a	1	0	new	7
88.7	2.5	repeat	n/a	1	40	new	9
93.2	2.5	lure	high	2	12	similar	10
97.7	2.5	lure	low	2	12	similar	7
102.2	2.5	foil	n/a	1	0	new	8
106.7	2.5	lure	high	1	40	similar	6
111.2	2.5	repeat	n/a	1	4	new	6
115.7	2.5	foil	n/a	1	0	new	9
120.2	2.5	lure	high	2	12	similar	10
124.7	2.5	repeat	n/a	1	40	new	3
129.2	2.5	repeat	n/a	2	4	old	8
133.7	2.5	foil	n/a	1	0	new	3
138.2	2.5	foil	n/a	1	0	new	7
142.7	2.5	foil	n/a	1	0	new	3
147.2	2.5	lure	high	1	4	new	6
151.7	2.5	lure	low	1	12	new	3
156.2	2.5	lure	low	1	40	new	9
160.7	2.5	foil	n/a	1	0	new	6
165.2	2.5	lure	high	2	4	similar	10
169.7	2.5	repeat	n/a	1	12	new	9
174.2	2.5	foil	n/a	1	0	new	10
178.7	2.5	foil	n/a	1	0	new	8
183.2	2.5	repeat	n/a	1	12	new	8
187.7	2.5	lure	low	2	40	old	9
192.2	2.5	repeat	n/a	1	12	new	8
196.7	2.5	foil	n/a	1	0	new	12
201.2	2.5	repeat	n/a	1	4	new	4
205.7	2.5	lure	low	2	12	similar	7
210.2	2.5	foil	n/a	1	0	new	9
214.7	2.5	repeat	n/a	1	40	similar	7
219.2	2.5	repeat	n/a	2	4	old	9
223.7	2.5	repeat	n/a	2	12	old	7
228.2	2.5	repeat	n/a	1	40	new	11
232.7	2.5	lure	high	1	40	old	3
237.2	2.5	repeat	n/a	2	12	old	9
241.7	2.5	repeat	n/a	1	40	new	2
246.2	2.5	repeat	n/a	2	12	old	8
250.7	2.5	foil	n/a	1	0	new	8
255.2	2.5	foil	n/a	1	0	new	12
259.7	2.5	foil	n/a	1	0	new	4
264.2	2.5	foil	n/a	1	0	new	11
268.7	2.5	repeat	n/a	2	40	old	11
273.2	2.5	foil	n/a	1	0	new	8
277.7	2.5	lure	low	1	40	new	11
282.2	2.5	foil	n/a	1	0	new	10
286.7	2.5	lure	high	2	40	similar	7
291.2	2.5	lure	low	1	4	new	6
295.7	2.5	lure	high	1	40	new	9
300.2	2.5	lure	low	1	4	new	9
304.7	2.5	repeat	n/a	2	40	old	10
309.2	2.5	lure	low	2	4	similar	9
313.7	2.5	foil	n/a	1	0	new	12
318.2	2.5	lure	low	2	4	similar	7
322.7	2.5	repeat	n/a	1	4	similar	7
327.2	2.5	foil	n/a	1	0	new	11
331.7	2.5	repeat	n/a	1	40	new	9
336.2	2.5	lure	low	2	40	similar	9
340.7	2.5	repeat	n/a	2	4	old	10
345.2	2.5	foil	n/a	1	0	new	8
349.7	2.5	repeat	n/a	1	12	new	8
354.2	2.5	repeat	n/a	1	4	new	6
358.7	2.5	foil	n/a	1	0	new	8
363.2	2.5	foil	n/a	1	0	new	7
367.7	2.5	foil	n/a	1	0	new	9
372.2	2.5	repeat	n/a	2	4	old	6
376.7	2.5	lure	high	1	12	new	12
381.2	2.5	repeat	n/a	1	4	similar	5
385.7	2.5	foil	n/a	1	0	new	9
390.2	2.5	repeat	n/a	1	12	new	10
394.7	2.5	repeat	n/a	2	40	old	3
399.2	2.5	repeat	n/a	2	4	old	8
403.7	2.5	repeat	n/a	2	12	old	8
408.2	2.5	repeat	n/a	2	40	old	6
412.7	2.5	lure	high	2	40	new	6
417.2	2.5	lure	high	1	4	new	8
421.7	2.5	repeat	n/a	2	40	old	7
426.2	2.5	foil	n/a	1	0	new	9
430.7	2.5	lure	high	2	12	similar	9
435.2	2.5	lure	high	2	4	similar	8
439.7	2.5	foil	n/a	1	0	new	8
444.2	2.5	repeat	n/a	2	12	old	8
448.7	2.5	foil	n/a	1	0	new	9
453.2	2.5	foil	n/a	1	0	new	10
457.7	2.5	lure	low	2	40	n/a	7
462.2	2.5	foil	n/a	1	0	new	9
466.7	2.5	foil	n/a	1	0	new	7
471.2	2.5	lure	low	1	4	new	9
475.7	2.5	lure	high	2	40	old	8
480.2	2.5	foil	n/a	1	0	new	6
484.7	2.5	repeat	n/a	1	4	new	8
489.2	2.5	lure	low	2	4	similar	9
493.7	2.5	foil	n/a	1	0	new	9
498.2	2.5	foil	n/a	1	0	new	9
502.7	2.5	repeat	n/a	2	4	similar	10
507.2	2.5	foil	n/a	1	0	new	11
511.7	2.5	repeat	n/a	2	40	n/a	3
516.2	2.5	foil	n/a	1	0	new	7
520.7	2.5	foil	n/a	1	0	new	9
