onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	lure	high	1	12	new	7
7.7	2.5	lure	low	1	4	new	8
12.2	2.5	repeat	n/a	1	40	new	9
16.7	2.5	foil	n/a	1	0	new	6
21.2	2.5	foil	n/a	1	0	new	9
25.7	2.5	lure	low	2	4	new	7
30.2	2.5	repeat	n/a	1	4	new	7
34.7	2.5	lure	low	1	4	new	7
39.2	2.5	repeat	n/a	1	40	new	4
43.7	2.5	lure	high	1	4	new	9
48.2	2.5	repeat	n/a	2	4	old	8
52.7	2.5	lure	low	2	4	similar	9
57.2	2.5	lure	high	2	12	old	9
61.7	2.5	lure	high	2	4	similar	9
66.2	2.5	repeat	n/a	1	40	new	8
70.7	2.5	lure	low	1	12	new	9
75.2	2.5	repeat	n/a	1	4	new	6
79.7	2.5	lure	high	1	40	new	4
84.2	2.5	repeat	n/a	1	40	new	7
88.7	2.5	lure	high	1	40	new	7
93.2	2.5	repeat	n/a	2	4	old	8
97.7	2.5	foil	n/a	1	0	new	6
102.2	2.5	lure	high	1	4	new	6
106.7	2.5	foil	n/a	1	0	new	7
111.2	2.5	lure	high	1	12	new	6
115.7	2.5	foil	n/a	1	0	new	6
120.2	2.5	lure	high	2	4	old	8
124.7	2.5	lure	low	2	12	similar	6
129.2	2.5	foil	n/a	1	0	new	8
133.7	2.5	foil	n/a	1	0	new	6
138.2	2.5	foil	n/a	1	0	new	5
142.7	2.5	foil	n/a	1	0	new	11
147.2	2.5	lure	high	1	40	new	9
151.7	2.5	foil	n/a	1	0	new	8
156.2	2.5	repeat	n/a	1	4	new	9
160.7	2.5	repeat	n/a	1	40	new	6
165.2	2.5	lure	high	2	12	old	6
169.7	2.5	repeat	n/a	1	12	new	6
174.2	2.5	repeat	n/a	2	4	similar	8
178.7	2.5	foil	n/a	1	0	new	6
183.2	2.5	lure	low	1	40	new	7
187.7	2.5	foil	n/a	1	0	new	8
192.2	2.5	repeat	n/a	2	40	old	6
196.7	2.5	lure	low	1	40	new	7
201.2	2.5	repeat	n/a	1	12	new	6
205.7	2.5	foil	n/a	1	0	new	5
210.2	2.5	foil	n/a	1	0	new	6
214.7	2.5	foil	n/a	1	0	new	5
219.2	2.5	repeat	n/a	2	40	old	6
223.7	2.5	repeat	n/a	2	12	old	5
228.2	2.5	foil	n/a	1	0	new	5
232.7	2.5	lure	low	1	40	new	2
237.2	2.5	foil	n/a	1	0	new	6
241.7	2.5	repeat	n/a	1	12	new	6
246.2	2.5	repeat	n/a	2	40	old	10
250.7	2.5	foil	n/a	1	0	new	6
255.2	2.5	repeat	n/a	2	12	old	6
259.7	2.5	lure	high	2	40	new	9
264.2	2.5	repeat	n/a	2	40	old	7
268.7	2.5	lure	high	2	40	old	6
273.2	2.5	foil	n/a	1	0	new	7
277.7	2.5	repeat	n/a	1	12	new	6
282.2	2.5	repeat	n/a	1	12	new	7
286.7	2.5	foil	n/a	1	0	new	7
291.2	2.5	foil	n/a	1	0	new	9
295.7	2.5	repeat	n/a	2	12	old	7
300.2	2.5	foil	n/a	1	0	new	9
304.7	2.5	foil	n/a	1	0	new	5
309.2	2.5	foil	n/a	1	0	new	6
313.7	2.5	foil	n/a	1	0	new	4
318.2	2.5	repeat	n/a	1	40	new	7
322.7	2.5	foil	n/a	1	0	new	11
327.2	2.5	lure	high	2	40	n/a	9
331.7	2.5	repeat	n/a	2	12	old	7
336.2	2.5	repeat	n/a	2	12	old	7
340.7	2.5	repeat	n/a	2	40	old	7
345.2	2.5	foil	n/a	1	0	new	7
349.7	2.5	foil	n/a	1	0	new	7
354.2	2.5	repeat	n/a	1	4	new	8
358.7	2.5	foil	n/a	1	0	new	6
363.2	2.5	lure	low	2	40	similar	5
367.7	2.5	foil	n/a	1	0	new	8
372.2	2.5	repeat	n/a	2	4	old	11
376.7	2.5	lure	low	2	40	similar	6
381.2	2.5	foil	n/a	1	0	new	8
385.7	2.5	repeat	n/a	1	12	new	8
390.2	2.5	foil	n/a	1	0	new	6
394.7	2.5	lure	low	1	12	new	8
399.2	2.5	foil	n/a	1	0	new	7
403.7	2.5	foil	n/a	1	0	new	7
408.2	2.5	lure	high	1	4	new	7
412.7	2.5	lure	low	2	40	similar	6
417.2	2.5	lure	high	1	12	new	9
421.7	2.5	foil	n/a	1	0	new	8
426.2	2.5	lure	high	2	4	old	11
430.7	2.5	lure	low	1	12	new	7
435.2	2.5	lure	low	1	4	new	5
439.7	2.5	repeat	n/a	2	12	old	8
444.2	2.5	foil	n/a	1	0	new	10
448.7	2.5	lure	low	2	12	new	9
453.2	2.5	lure	low	2	4	similar	9
457.7	2.5	foil	n/a	1	0	new	8
462.2	2.5	foil	n/a	1	0	new	8
466.7	2.5	foil	n/a	1	0	new	9
471.2	2.5	lure	high	2	12	old	4
475.7	2.5	foil	n/a	1	0	new	5
480.2	2.5	foil	n/a	1	0	new	6
484.7	2.5	lure	low	2	12	similar	10
489.2	2.5	repeat	n/a	1	4	new	8
493.7	2.5	repeat	n/a	1	4	new	3
498.2	2.5	repeat	n/a	2	40	old	7
502.7	2.5	foil	n/a	1	0	new	5
507.2	2.5	repeat	n/a	2	4	old	9
511.7	2.5	repeat	n/a	2	4	old	3
516.2	2.5	foil	n/a	1	0	new	7
520.7	2.5	foil	n/a	1	0	new	8
