onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	repeat	n/a	1	4	new	6
7.7	2.5	foil	n/a	1	0	new	4
12.2	2.5	foil	n/a	1	0	new	4
16.7	2.5	repeat	n/a	1	12	new	5
21.2	2.5	repeat	n/a	2	4	old	10
25.7	2.5	lure	low	1	4	new	8
30.2	2.5	foil	n/a	1	0	new	10
34.7	2.5	foil	n/a	1	0	new	6
39.2	2.5	foil	n/a	1	0	new	7
43.7	2.5	lure	low	2	4	similar	6
48.2	2.5	foil	n/a	1	0	new	9
52.7	2.5	foil	n/a	1	0	new	7
57.2	2.5	foil	n/a	1	0	new	8
61.7	2.5	foil	n/a	1	0	new	9
66.2	2.5	repeat	n/a	1	40	new	9
70.7	2.5	repeat	n/a	2	12	old	7
75.2	2.5	foil	n/a	1	0	new	6
79.7	2.5	foil	n/a	1	0	new	7
84.2	2.5	foil	n/a	1	0	new	10
88.7	2.5	foil	n/a	1	0	new	5
93.2	2.5	lure	high	1	4	new	7
97.7	2.5	foil	n/a	1	0	new	6
102.2	2.5	foil	n/a	1	0	new	7
106.7	2.5	foil	n/a	1	0	new	4
111.2	2.5	lure	high	2	4	old	8
115.7	2.5	foil	n/a	1	0	new	9
120.2	2.5	repeat	n/a	1	4	new	7
124.7	2.5	foil	n/a	1	0	new	5
129.2	2.5	foil	n/a	1	0	new	8
133.7	2.5	foil	n/a	1	0	new	7
138.2	2.5	repeat	n/a	2	4	old	8
142.7	2.5	foil	n/a	1	0	new	5
147.2	2.5	repeat	n/a	1	40	new	9
151.7	2.5	foil	n/a	1	0	new	7
156.2	2.5	repeat	n/a	1	12	new	9
160.7	2.5	foil	n/a	1	0	new	6
165.2	2.5	lure	low	1	40	new	9
169.7	2.5	foil	n/a	1	0	new	9
174.2	2.5	repeat	n/a	1	12	new	6
178.7	2.5	lure	low	1	40	new	7
183.2	2.5	repeat	n/a	1	12	new	10
187.7	2.5	repeat	n/a	1	12	new	9
192.2	2.5	foil	n/a	1	0	new	7
196.7	2.5	foil	n/a	1	0	new	6
201.2	2.5	repeat	n/a	1	40	new	7
205.7	2.5	foil	n/a	1	0	new	6
210.2	2.5	repeat	n/a	2	12	old	7
214.7	2.5	lure	low	1	12	new	8
219.2	2.5	repeat	n/a	1	40	new	7
223.7	2.5	foil	n/a	1	0	new	7
228.2	2.5	repeat	n/a	2	12	old	8
232.7	2.5	lure	low	1	4	new	9
237.2	2.5	repeat	n/a	2	12	old	9
241.7	2.5	repeat	n/a	2	12	old	7
246.2	2.5	repeat	n/a	2	40	old	8
250.7	2.5	lure	low	2	4	similar	8
255.2	2.5	repeat	n/a	1	4	new	5
259.7	2.5	lure	high	1	40	new	7
264.2	2.5	foil	n/a	1	0	new	9
268.7	2.5	lure	low	2	12	old	10
273.2	2.5	repeat	n/a	2	4	old	7
277.7	2.5	lure	high	1	4	new	2
282.2	2.5	lure	high	1	40	new	9
286.7	2.5	lure	high	1	40	new	7
291.2	2.5	foil	n/a	1	0	new	8
295.7	2.5	lure	high	2	4	old	8
300.2	2.5	repeat	n/a	1	40	new	8
304.7	2.5	repeat	n/a	1	40	old	8
309.2	2.5	foil	n/a	1	0	new	6
313.7	2.5	foil	n/a	1	0	new	7
318.2	2.5	foil	n/a	1	0	new	9
322.7	2.5	lure	high	1	4	new	8
327.2	2.5	repeat	n/a	2	40	old	9
331.7	2.5	lure	high	1	12	new	5
336.2	2.5	lure	low	1	40	new	5
340.7	2.5	lure	high	2	4	similar	7
345.2	2.5	lure	low	2	40	similar	5
349.7	2.5	repeat	n/a	1	4	similar	7
354.2	2.5	lure	high	1	12	new	8
358.7	2.5	lure	low	2	40	similar	8
363.2	2.5	foil	n/a	1	0	new	5
367.7	2.5	repeat	n/a	2	4	old	6
372.2	2.5	foil	n/a	1	0	new	8
376.7	2.5	lure	high	1	12	new	6
381.2	2.5	repeat	n/a	2	40	old	7
385.7	2.5	lure	high	2	12	old	7
390.2	2.5	foil	n/a	1	0	new	7
394.7	2.5	foil	n/a	1	0	new	4
399.2	2.5	repeat	n/a	2	40	old	7
403.7	2.5	repeat	n/a	1	12	new	8
408.2	2.5	lure	high	2	12	old	7
412.7	2.5	foil	n/a	1	0	new	9
417.2	2.5	lure	low	1	12	similar	4
421.7	2.5	foil	n/a	1	0	new	4
426.2	2.5	repeat	n/a	1	4	new	7
430.7	2.5	lure	high	2	12	old	6
435.2	2.5	foil	n/a	1	0	new	7
439.7	2.5	lure	high	2	40	old	2
444.2	2.5	repeat	n/a	2	4	old	9
448.7	2.5	foil	n/a	1	0	new	9
453.2	2.5	lure	low	1	12	new	11
457.7	2.5	repeat	n/a	2	12	old	9
462.2	2.5	lure	high	2	40	similar	9
466.7	2.5	lure	high	2	40	old	9
471.2	2.5	lure	low	2	12	similar	7
475.7	2.5	foil	n/a	1	0	similar	8
480.2	2.5	repeat	n/a	2	40	old	9
484.7	2.5	repeat	n/a	2	40	old	8
489.2	2.5	foil	n/a	1	0	new	7
493.7	2.5	repeat	n/a	1	4	new	6
498.2	2.5	foil	n/a	1	0	new	6
502.7	2.5	lure	low	1	4	new	11
507.2	2.5	lure	low	2	12	similar	6
511.7	2.5	repeat	n/a	2	4	old	10
516.2	2.5	lure	low	2	40	similar	10
520.7	2.5	lure	low	2	4	similar	10
