onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	foil	n/a	1	0	new	3
7.7	2.5	lure	high	1	40	new	4
12.2	2.5	foil	n/a	1	0	new	8
16.7	2.5	foil	n/a	1	0	new	8
21.2	2.5	foil	n/a	1	0	new	9
25.7	2.5	foil	n/a	1	0	new	5
30.2	2.5	lure	low	1	4	new	7
34.7	2.5	repeat	n/a	1	12	new	3
39.2	2.5	lure	low	1	40	new	3
43.7	2.5	lure	high	1	40	new	6
48.2	2.5	lure	low	2	4	similar	4
52.7	2.5	repeat	n/a	1	4	new	7
57.2	2.5	lure	low	1	40	new	6
61.7	2.5	repeat	n/a	1	40	similar	8
66.2	2.5	repeat	n/a	1	12	new	5
70.7	2.5	repeat	n/a	2	4	similar	8
75.2	2.5	repeat	n/a	1	4	new	4
79.7	2.5	foil	n/a	1	0	similar	4
84.2	2.5	repeat	n/a	1	40	new	5
88.7	2.5	repeat	n/a	2	12	old	6
93.2	2.5	repeat	n/a	2	4	old	3
97.7	2.5	foil	n/a	1	0	new	4
102.2	2.5	foil	n/a	1	0	new	4
106.7	2.5	foil	n/a	1	0	new	3
111.2	2.5	repeat	n/a	1	4	new	5
115.7	2.5	foil	n/a	1	0	similar	6
120.2	2.5	repeat	n/a	2	12	old	7
124.7	2.5	repeat	n/a	1	40	new	7
129.2	2.5	repeat	n/a	2	4	old	6
133.7	2.5	foil	n/a	1	0	new	6
138.2	2.5	foil	n/a	1	0	new	6
142.7	2.5	repeat	n/a	1	40	new	4
147.2	2.5	repeat	n/a	1	40	new	4
151.7	2.5	foil	n/a	1	0	similar	6
156.2	2.5	lure	high	1	12	new	7
160.7	2.5	foil	n/a	1	0	new	6
165.2	2.5	foil	n/a	1	0	new	6
169.7	2.5	lure	high	1	40	new	6
174.2	2.5	lure	low	1	4	new	7
178.7	2.5	foil	n/a	1	0	new	4
183.2	2.5	foil	n/a	1	0	new	2
187.7	2.5	lure	high	2	40	similar	6
192.2	2.5	lure	low	2	4	similar	8
196.7	2.5	lure	low	1	12	new	7
201.2	2.5	foil	n/a	1	0	new	3
205.7	2.5	foil	n/a	1	0	new	5
210.2	2.5	lure	high	2	12	similar	9
214.7	2.5	foil	n/a	1	0	new	4
219.2	2.5	lure	low	2	40	similar	5
223.7	2.5	lure	high	2	40	old	5
228.2	2.5	repeat	n/a	1	4	new	7
232.7	2.5	lure	low	1	12	new	8
237.2	2.5	lure	low	2	40	similar	5
241.7	2.5	repeat	n/a	2	40	old	7
246.2	2.5	repeat	n/a	2	4	old	5
250.7	2.5	lure	low	2	12	similar	6
255.2	2.5	repeat	n/a	1	40	new	9
259.7	2.5	repeat	n/a	1	12	similar	8
264.2	2.5	repeat	n/a	2	40	old	5
268.7	2.5	foil	n/a	1	0	new	5
273.2	2.5	lure	low	1	4	similar	7
277.7	2.5	lure	high	1	12	new	5
282.2	2.5	lure	low	1	12	new	6
286.7	2.5	lure	low	2	12	similar	4
291.2	2.5	lure	low	2	4	similar	6
295.7	2.5	lure	low	1	40	new	4
300.2	2.5	lure	high	1	4	similar	4
304.7	2.5	repeat	n/a	2	40	old	6
309.2	2.5	foil	n/a	1	0	new	5
313.7	2.5	repeat	n/a	2	12	old	3
318.2	2.5	lure	high	2	4	similar	6
322.7	2.5	repeat	n/a	2	40	similar	3
327.2	2.5	repeat	n/a	2	40	similar	7
331.7	2.5	lure	high	2	12	similar	7
336.2	2.5	lure	low	2	12	similar	10
340.7	2.5	foil	n/a	1	0	similar	7
345.2	2.5	foil	n/a	1	0	new	8
349.7	2.5	lure	high	2	40	similar	3
354.2	2.5	repeat	n/a	1	4	new	6
358.7	2.5	repeat	n/a	1	12	new	7
363.2	2.5	foil	n/a	1	0	similar	8
367.7	2.5	lure	high	1	4	new	5
372.2	2.5	repeat	n/a	2	4	similar	5
376.7	2.5	foil	n/a	1	0	new	7
381.2	2.5	foil	n/a	1	0	new	6
385.7	2.5	lure	high	2	4	old	6
390.2	2.5	foil	n/a	1	0	similar	7
394.7	2.5	foil	n/a	1	0	new	7
399.2	2.5	foil	n/a	1	0	similar	4
403.7	2.5	foil	n/a	1	0	old	5
408.2	2.5	lure	high	1	12	new	4
412.7	2.5	repeat	n/a	2	12	n/a	8
417.2	2.5	foil	n/a	1	0	new	6
421.7	2.5	repeat	n/a	1	4	new	6
426.2	2.5	foil	n/a	1	0	new	7
430.7	2.5	foil	n/a	1	0	new	7
435.2	2.5	repeat	n/a	2	40	old	7
439.7	2.5	repeat	n/a	2	4	old	10
444.2	2.5	repeat	n/a	1	12	new	8
448.7	2.5	repeat	n/a	1	12	similar	4
453.2	2.5	foil	n/a	1	0	new	5
457.7	2.5	foil	n/a	1	0	new	4
462.2	2.5	lure	high	2	12	old	9
466.7	2.5	lure	high	1	4	new	7
471.2	2.5	foil	n/a	1	0	new	5
475.7	2.5	lure	low	2	40	similar	5
480.2	2.5	foil	n/a	1	0	new	9
484.7	2.5	lure	high	2	4	similar	4
489.2	2.5	foil	n/a	1	0	new	8
493.7	2.5	foil	n/a	1	0	new	7
498.2	2.5	repeat	n/a	2	12	old	5
502.7	2.5	repeat	n/a	2	12	old	4
507.2	2.5	foil	n/a	1	0	new	9
511.7	2.5	foil	n/a	1	0	new	8
516.2	2.5	foil	n/a	1	0	new	11
520.7	2.5	foil	n/a	1	0	new	7
