onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	lure	low	1	4	new	9
7.7	2.5	repeat	n/a	1	12	new	8
12.2	2.5	foil	n/a	1	0	new	10
16.7	2.5	repeat	n/a	1	40	new	8
21.2	2.5	lure	low	2	4	similar	9
25.7	2.5	foil	n/a	1	0	new	10
30.2	2.5	foil	n/a	1	0	new	8
34.7	2.5	foil	n/a	1	0	new	6
39.2	2.5	foil	n/a	1	0	new	4
43.7	2.5	foil	n/a	1	0	new	8
48.2	2.5	foil	n/a	1	0	new	10
52.7	2.5	lure	low	1	40	new	8
57.2	2.5	foil	n/a	1	0	new	10
61.7	2.5	repeat	n/a	2	12	old	8
66.2	2.5	lure	high	1	4	new	8
70.7	2.5	lure	high	1	12	new	8
75.2	2.5	repeat	n/a	1	4	new	9
79.7	2.5	foil	n/a	1	0	new	10
84.2	2.5	lure	high	2	4	old	10
88.7	2.5	lure	low	1	40	new	9
93.2	2.5	repeat	n/a	2	4	old	6
97.7	2.5	foil	n/a	1	0	new	10
102.2	2.5	foil	n/a	1	0	new	8
106.7	2.5	foil	n/a	1	0	new	9
111.2	2.5	foil	n/a	1	0	new	11
115.7	2.5	foil	n/a	1	0	new	7
120.2	2.5	foil	n/a	1	0	new	7
124.7	2.5	lure	high	2	12	old	10
129.2	2.5	repeat	n/a	1	40	new	11
133.7	2.5	foil	n/a	1	0	new	7
138.2	2.5	foil	n/a	1	0	new	8
142.7	2.5	foil	n/a	1	0	new	6
147.2	2.5	lure	high	1	12	new	9
151.7	2.5	repeat	n/a	1	12	new	7
156.2	2.5	lure	high	1	4	new	7
160.7	2.5	lure	high	1	4	new	13
165.2	2.5	repeat	n/a	1	12	new	8
169.7	2.5	foil	n/a	1	0	new	7
174.2	2.5	lure	high	2	4	similar	13
178.7	2.5	lure	high	2	4	similar	12
183.2	2.5	repeat	n/a	1	40	new	11
187.7	2.5	lure	low	1	40	new	9
192.2	2.5	foil	n/a	1	0	new	10
196.7	2.5	repeat	n/a	2	40	old	7
201.2	2.5	lure	high	2	12	similar	9
205.7	2.5	repeat	n/a	2	12	old	7
210.2	2.5	foil	n/a	1	0	new	10
214.7	2.5	lure	high	1	40	new	11
219.2	2.5	repeat	n/a	2	12	n/a	6
223.7	2.5	repeat	n/a	1	4	n/a	8
228.2	2.5	repeat	n/a	1	4	new	7
232.7	2.5	lure	low	2	40	similar	10
237.2	2.5	repeat	n/a	1	40	new	8
241.7	2.5	repeat	n/a	2	4	old	9
246.2	2.5	repeat	n/a	2	4	old	8
250.7	2.5	foil	n/a	1	0	new	8
255.2	2.5	foil	n/a	1	0	new	9
259.7	2.5	repeat	n/a	1	4	new	8
264.2	2.5	foil	n/a	1	0	new	10
268.7	2.5	lure	low	2	40	similar	12
273.2	2.5	foil	n/a	1	0	new	10
277.7	2.5	repeat	n/a	2	4	old	10
282.2	2.5	lure	low	1	4	new	8
286.7	2.5	lure	high	1	40	new	8
291.2	2.5	repeat	n/a	1	40	new	9
295.7	2.5	repeat	n/a	1	12	new	9
300.2	2.5	lure	low	2	4	similar	9
304.7	2.5	foil	n/a	1	0	new	10
309.2	2.5	repeat	n/a	2	40	old	9
313.7	2.5	foil	n/a	1	0	new	4
318.2	2.5	lure	high	1	12	new	12
322.7	2.5	lure	high	1	40	new	8
327.2	2.5	repeat	n/a	1	40	new	11
331.7	2.5	foil	n/a	1	0	new	9
336.2	2.5	lure	low	1	12	new	6
340.7	2.5	foil	n/a	1	0	new	6
345.2	2.5	foil	n/a	1	0	new	8
349.7	2.5	repeat	n/a	2	12	old	9
354.2	2.5	foil	n/a	1	0	new	6
358.7	2.5	foil	n/a	1	0	new	8
363.2	2.5	repeat	n/a	2	40	old	9
367.7	2.5	lure	low	2	40	old	8
372.2	2.5	lure	high	2	12	old	10
376.7	2.5	foil	n/a	1	0	new	9
381.2	2.5	foil	n/a	1	0	new	8
385.7	2.5	foil	n/a	1	0	new	5
390.2	2.5	lure	low	2	12	similar	10
394.7	2.5	lure	high	2	40	old	11
399.2	2.5	foil	n/a	1	0	new	9
403.7	2.5	foil	n/a	1	0	new	7
408.2	2.5	lure	low	1	12	new	7
412.7	2.5	foil	n/a	1	0	new	10
417.2	2.5	repeat	n/a	2	40	old	9
421.7	2.5	lure	low	1	4	new	8
426.2	2.5	repeat	n/a	1	12	new	4
430.7	2.5	repeat	n/a	1	12	new	8
435.2	2.5	repeat	n/a	1	4	new	10
439.7	2.5	lure	low	2	4	similar	10
444.2	2.5	lure	low	1	12	new	12
448.7	2.5	foil	n/a	1	0	new	6
453.2	2.5	repeat	n/a	2	4	old	11
457.7	2.5	foil	n/a	1	0	new	9
462.2	2.5	lure	low	2	12	similar	8
466.7	2.5	lure	high	2	40	new	10
471.2	2.5	repeat	n/a	2	40	old	8
475.7	2.5	foil	n/a	1	0	new	9
480.2	2.5	repeat	n/a	2	12	old	8
484.7	2.5	repeat	n/a	2	12	old	11
489.2	2.5	foil	n/a	1	0	new	6
493.7	2.5	repeat	n/a	1	4	new	8
498.2	2.5	lure	low	2	12	similar	11
502.7	2.5	lure	high	2	40	new	11
507.2	2.5	repeat	n/a	2	40	old	11
511.7	2.5	repeat	n/a	2	4	old	11
516.2	2.5	foil	n/a	1	0	new	8
520.7	2.5	foil	n/a	1	0	new	8
