onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	foil	n/a	1	0	new	10
7.7	2.5	repeat	n/a	1	40	new	9
12.2	2.5	foil	n/a	1	0	new	8
16.7	2.5	repeat	n/a	1	12	new	6
21.2	2.5	foil	n/a	1	0	new	9
25.7	2.5	foil	n/a	1	0	similar	8
30.2	2.5	foil	n/a	1	0	new	10
34.7	2.5	foil	n/a	1	0	new	9
39.2	2.5	foil	n/a	1	0	new	10
43.7	2.5	foil	n/a	1	0	new	10
48.2	2.5	foil	n/a	1	0	new	8
52.7	2.5	repeat	n/a	1	12	new	8
57.2	2.5	foil	n/a	1	0	new	8
61.7	2.5	foil	n/a	1	0	new	9
66.2	2.5	lure	high	1	4	new	9
70.7	2.5	repeat	n/a	2	12	similar	7
75.2	2.5	repeat	n/a	1	12	new	10
79.7	2.5	foil	n/a	1	0	new	10
84.2	2.5	lure	high	2	4	old	8
88.7	2.5	foil	n/a	1	0	similar	10
93.2	2.5	foil	n/a	1	0	similar	8
97.7	2.5	foil	n/a	1	0	new	12
102.2	2.5	foil	n/a	1	0	new	9
106.7	2.5	repeat	n/a	2	12	old	9
111.2	2.5	foil	n/a	1	0	new	9
115.7	2.5	repeat	n/a	1	40	new	8
120.2	2.5	foil	n/a	1	0	new	8
124.7	2.5	foil	n/a	1	0	new	8
129.2	2.5	repeat	n/a	2	12	old	9
133.7	2.5	foil	n/a	1	0	new	11
138.2	2.5	repeat	n/a	1	40	new	10
142.7	2.5	repeat	n/a	1	4	new	10
147.2	2.5	lure	low	1	12	new	9
151.7	2.5	foil	n/a	1	0	new	10
156.2	2.5	foil	n/a	1	0	new	8
160.7	2.5	repeat	n/a	2	4	old	10
165.2	2.5	lure	low	1	4	new	9
169.7	2.5	lure	high	1	12	new	10
174.2	2.5	lure	low	1	4	new	8
178.7	2.5	lure	high	1	12	new	10
183.2	2.5	lure	low	2	4	similar	10
187.7	2.5	repeat	n/a	2	40	old	8
192.2	2.5	lure	low	2	4	similar	9
196.7	2.5	lure	high	1	40	new	8
201.2	2.5	lure	low	2	12	similar	10
205.7	2.5	lure	low	1	40	new	8
210.2	2.5	repeat	n/a	1	40	new	7
214.7	2.5	lure	low	1	40	new	12
219.2	2.5	repeat	n/a	1	40	new	7
223.7	2.5	lure	high	2	12	old	12
228.2	2.5	lure	high	1	40	new	8
232.7	2.5	lure	high	2	12	old	9
237.2	2.5	lure	low	1	12	new	7
241.7	2.5	repeat	n/a	1	4	new	9
246.2	2.5	foil	n/a	1	0	new	8
250.7	2.5	foil	n/a	1	0	new	5
255.2	2.5	foil	n/a	1	0	new	8
259.7	2.5	repeat	n/a	2	4	old	7
264.2	2.5	foil	n/a	1	0	new	5
268.7	2.5	repeat	n/a	1	12	new	7
273.2	2.5	foil	n/a	1	0	new	7
277.7	2.5	foil	n/a	1	0	new	7
282.2	2.5	repeat	n/a	1	4	new	9
286.7	2.5	repeat	n/a	1	12	new	8
291.2	2.5	lure	low	2	12	similar	12
295.7	2.5	repeat	n/a	2	40	old	9
300.2	2.5	repeat	n/a	2	4	old	9
304.7	2.5	lure	low	1	40	new	9
309.2	2.5	lure	high	1	40	new	8
313.7	2.5	lure	high	1	4	new	10
318.2	2.5	repeat	n/a	2	40	old	9
322.7	2.5	repeat	n/a	2	12	old	10
327.2	2.5	foil	n/a	1	0	new	9
331.7	2.5	lure	high	2	4	old	9
336.2	2.5	repeat	n/a	1	40	new	11
340.7	2.5	repeat	n/a	2	12	old	8
345.2	2.5	foil	n/a	1	0	new	8
349.7	2.5	foil	n/a	1	0	new	9
354.2	2.5	foil	n/a	1	0	new	7
358.7	2.5	foil	n/a	1	0	new	6
363.2	2.5	foil	n/a	1	0	new	7
367.7	2.5	lure	high	1	12	new	11
372.2	2.5	lure	low	1	12	new	9
376.7	2.5	lure	high	2	40	old	8
381.2	2.5	foil	n/a	1	0	new	11
385.7	2.5	lure	low	2	40	similar	10
390.2	2.5	repeat	n/a	2	40	old	10
394.7	2.5	lure	low	2	40	old	11
399.2	2.5	repeat	n/a	2	40	old	7
403.7	2.5	foil	n/a	1	0	new	10
408.2	2.5	lure	high	2	40	old	10
412.7	2.5	repeat	n/a	1	4	new	13
417.2	2.5	repeat	n/a	1	4	new	9
421.7	2.5	lure	high	2	12	similar	10
426.2	2.5	lure	low	2	12	similar	10
430.7	2.5	repeat	n/a	2	4	old	9
435.2	2.5	repeat	n/a	2	4	old	7
439.7	2.5	foil	n/a	1	0	new	10
444.2	2.5	repeat	n/a	1	12	new	8
448.7	2.5	lure	high	1	4	n/a	9
453.2	2.5	repeat	n/a	1	4	new	9
457.7	2.5	foil	n/a	1	0	new	9
462.2	2.5	foil	n/a	1	0	new	8
466.7	2.5	lure	high	2	4	old	7
471.2	2.5	repeat	n/a	2	4	new	8
475.7	2.5	foil	n/a	1	0	new	12
480.2	2.5	foil	n/a	1	0	new	8
484.7	2.5	lure	low	2	40	similar	10
489.2	2.5	lure	high	2	40	old	9
493.7	2.5	foil	n/a	1	0	new	10
498.2	2.5	repeat	n/a	2	12	old	6
502.7	2.5	lure	low	1	4	new	11
507.2	2.5	foil	n/a	1	0	new	10
511.7	2.5	foil	n/a	1	0	new	13
516.2	2.5	repeat	n/a	2	40	old	10
520.7	2.5	lure	low	2	4	similar	10
